iter	Passed	Remaining
864	1195	186
865	1196	185
866	1197	183
867	1198	182
868	1199	180
869	1200	179
870	1201	177
871	1201	176
872	1202	174
873	1203	173
874	1204	172
875	1205	170
876	1206	169
877	1208	167
878	1209	166
879	1210	165
880	1211	163
881	1212	162
882	1213	160
883	1214	159
884	1214	157
885	1215	156
886	1216	154
887	1217	153
888	1218	152
889	1219	150
890	1220	149
891	1221	147
892	1222	146
893	1223	145
894	1224	143
895	1225	142
896	1227	140
897	1228	139
898	1229	138
899	1230	136
900	1231	135
901	1232	133
902	1233	132
903	1234	131
904	1235	129
905	1236	128
906	1237	126
907	1238	125
908	1239	124
909	1240	122
910	1241	121
911	1242	119
912	1242	118
913	1243	117
914	1246	115
915	1247	114
916	1248	112
917	1248	111
918	1249	110
919	1250	108
920	1251	107
921	1252	105
922	1253	104
923	1253	103
924	1254	101
925	1255	100
926	1256	98
927	1257	97
928	1258	96
929	1259	94
930	1260	93
931	1261	92
932	1261	90
933	1262	89
934	1265	87
935	1266	86
936	1267	85
937	1267	83
938	1268	82
939	1269	81
940	1270	79
941	1271	78
942	1272	76
943	1272	75
944	1273	74
945	1275	72
946	1276	71
947	1276	70
948	1277	68
949	1278	67
950	1279	65
951	1280	64
952	1281	63
953	1283	61
954	1284	60
955	1285	59
956	1286	57
957	1287	56
958	1288	55
959	1288	53
960	1289	52
961	1290	50
962	1291	49
963	1292	48
964	1293	46
965	1294	45
966	1294	44
967	1295	42
968	1296	41
969	1297	40
970	1298	38
971	1299	37
972	1300	36
973	1303	34
974	1304	33
975	1305	32
976	1305	30
977	1306	29
978	1307	28
979	1308	26
980	1309	25
981	1310	24
982	1311	22
983	1311	21
984	1312	19
985	1313	18
986	1314	17
987	1315	15
988	1316	14
989	1317	13
990	1318	11
991	1320	10
992	1321	9
993	1322	7
994	1322	6
995	1323	5
996	1324	3
997	1325	2
998	1326	1
999	1327	0
